time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,shield/actions_allowed,shield/actions_block_ignored,shield/actions_blocked,rollout/ep_rew_mean,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/value_loss,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/approx_kl,shield/stage,shield/delta,shield/transition_timestep
1023,3981312,81,3888,43.0,3116971,0,585658,0.7186111211776733,-0.17695856732316315,-0.0013392988134304082,0.0003,0.024214680989583334,0.012124754227988888,0.546386182308197,800,0.2,0.005305814556777477,0.0032618314,,,
1035,4030464,82,3892,41.93,0,0,0,0.7303889393806458,-0.17836280326979856,-0.0018352821005464647,0.0003,0.025980631510416668,0.011574963083451925,0.5291600227355957,810,0.2,-0.0013414416462182999,0.006545803,3,0.0,4000008
1045,4079616,83,3900,43.49,0,0,0,0.7271111011505127,-0.20160517687133203,-0.0012562452067868435,0.0003,0.025311279296875,0.011081914552535939,0.5383614301681519,820,0.2,0.006874488666653633,0.003052622,,,
1056,4128768,84,3908,39.79,0,0,0,0.7279166579246521,-0.19279615172029782,-0.001426544991015059,0.0003,0.023347981770833335,0.011260211976332358,0.5244928002357483,830,0.2,0.008634068071842194,0.002834982,,,
1066,4177920,85,3916,44.69,0,0,0,0.7802221179008484,-0.18978395075537263,-0.001877897373015003,0.0003,0.024875895182291666,0.011537318298845396,0.5363439321517944,840,0.2,0.0012145116925239563,0.0025909548,,,
1077,4227072,86,3924,42.56,0,0,0,0.7675832509994507,-0.1937404584294806,-0.0013851162731346753,0.0003,0.023520914713541667,0.012524276058926868,0.5203304886817932,850,0.2,0.0008327700197696686,0.0025444282,,,
1087,4276224,87,3931,43.66,0,0,0,0.7645000219345093,-0.1924389999670287,-0.0019006925855743855,0.0003,0.023282877604166665,0.01141286640437708,0.5351327657699585,860,0.2,0.006820628885179758,0.0026343167,,,
1098,4325376,88,3938,39.91,0,0,0,0.7449443936347961,-0.18502286300063134,-0.0013535045542691175,0.0003,0.020436604817708332,0.011763005986479887,0.5271580219268799,870,0.2,0.005600395612418652,0.002068916,,,
1108,4374528,89,3944,38.65,0,0,0,0.7950000166893005,-0.19021784561530997,-0.00133484164980473,0.0003,0.01998291015625,0.012431122623578024,0.5076076984405518,880,0.2,0.009058251976966858,0.0021777514,,,
1119,4423680,90,3951,41.45,0,0,0,0.7148333191871643,-0.19089085988234727,-0.0018170281179967181,0.0003,0.023087565104166666,0.011784176756918896,0.5297174453735352,890,0.2,-0.004128387197852135,0.0033794371,,,
1130,4472832,91,3957,38.14,0,0,0,0.7483888864517212,-0.1857624370449533,-0.0018516702058453424,0.0003,0.02427978515625,0.011300630967646915,0.5462426543235779,900,0.2,0.006950112991034985,0.0026896137,,,
1140,4521984,92,3963,41.88,0,0,0,0.8145278096199036,-0.18347780379311493,-0.0014298634584823352,0.0003,0.019600423177083333,0.012271196313668043,0.5355666875839233,910,0.2,-0.0032699801959097385,0.0030770919,,,
1151,4571136,93,3969,40.31,0,0,0,0.7714166045188904,-0.18724124652023116,-0.0015684824420532095,0.0003,0.019521077473958332,0.011018777344967626,0.5403624773025513,920,0.2,-0.00021675555035471916,0.002838087,,,
1162,4620288,94,3975,38.0,0,0,0,0.7591665387153625,-0.18192181904645016,-0.0017216888761443746,0.0003,0.022713216145833333,0.0105513628727446,0.5447325706481934,930,0.2,-0.00027370452880859375,0.0026004885,,,
1172,4669440,95,3981,38.79,0,0,0,0.768083393573761,-0.18033192440246543,-0.0014748453028611646,0.0003,0.02303466796875,0.010809233083030752,0.5395167469978333,940,0.2,0.006165558472275734,0.0035822454,,,
1183,4718592,96,3987,42.68,0,0,0,0.7866110801696777,-0.17761267051100732,-0.0013198017785422658,0.0003,0.02183837890625,0.011457310287854246,0.5263147354125977,950,0.2,0.004629170056432486,0.0023519178,,,
1193,4767744,97,3994,43.02,0,0,0,0.7560555338859558,-0.17998628326846908,-0.0011930311446121777,0.0003,0.020334879557291668,0.011233479799314713,0.5304027199745178,960,0.2,0.0026750662364065647,0.0022789515,,,
1204,4816896,98,3999,38.66,0,0,0,0.7281944751739502,-0.1751813770815109,-0.0018531134556421117,0.0003,0.021516927083333335,0.011413425107457442,0.5209812521934509,970,0.2,0.004319299478083849,0.003015557,,,
1214,4866048,99,4005,39.57,0,0,0,0.7360278367996216,-0.17528681277763097,-0.001425810739632046,0.0003,0.021103922526041666,0.011580528592457996,0.5371788740158081,980,0.2,0.0075724441558122635,0.0021454021,,,
1225,4915200,100,4011,40.3,0,0,0,0.7583610415458679,-0.17764498807955534,-0.0015682250329215701,0.0003,0.020784505208333335,0.011586241099333467,0.53293377161026,990,0.2,0.0029745730571448803,0.0018404064,,,
1235,4964352,101,4017,37.35,0,0,0,0.731749951839447,-0.16856500859527537,-0.0010247471841770069,0.0003,0.015327962239583333,0.012011504955929316,0.5323656797409058,1000,0.2,0.007549837697297335,0.002316931,,,
1246,5013504,102,4022,40.82,0,0,0,0.7639444470405579,-0.1609597818925977,-0.0010893353609390034,0.0003,0.018544514973958332,0.011113332327416478,0.537455141544342,1010,0.2,-0.0009107477962970734,0.002191115,,,
